,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,c
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,3,2020-01-16,日本,JP,,,,,1,0,0,0,
21,4,2020-01-16,泰国,TH,,,,,1,0,0,0,
22,17,2020-01-20,日本,JP,,,,,1,0,0,0,
23,18,2020-01-20,韩国,KR,,,,,1,0,0,0,
24,19,2020-01-20,泰国,TH,,,,,2,0,0,0,
25,54,2020-01-21,日本,JP,,,,,1,0,0,0,
26,55,2020-01-21,韩国,KR,,,,,1,0,0,0,
27,56,2020-01-21,泰国,TH,,,,,3,0,0,0,
28,104,2020-01-22,日本,JP,,,,,1,0,0,0,
29,105,2020-01-22,韩国,KR,,,,,1,0,0,0,
30,106,2020-01-22,泰国,TH,,,,,3,0,0,0,
31,107,2020-01-22,美国,US,,,,,1,0,0,0,
32,174,2020-01-23,日本,JP,,,,,1,0,1,0,
33,175,2020-01-23,韩国,KR,,,,,1,0,0,0,
34,176,2020-01-23,新加坡,SG,,,,,1,0,0,0,
35,177,2020-01-23,泰国,TH,,,,,3,0,2,0,
36,178,2020-01-23,美国,US,,,,,1,0,0,0,
37,179,2020-01-23,越南,VN,,,,,2,0,0,0,
38,230,2020-01-24,法国,FR,,,,,2,0,0,0,
39,231,2020-01-24,日本,JP,,,,,2,0,1,0,
40,232,2020-01-24,韩国,KR,,,,,2,0,0,0,
41,233,2020-01-24,尼泊尔,NP,,,,,1,0,0,0,
42,234,2020-01-24,新加坡,SG,,,,,3,0,0,0,
43,235,2020-01-24,泰国,TH,,,,,4,0,2,0,
44,236,2020-01-24,美国,US,,,,,2,0,0,0,
45,237,2020-01-24,越南,VN,,,,,2,0,0,0,
46,0,2020-01-25,澳大利亚,AU,,,,,1,0,0,0,
47,277,2020-01-25,法国,FR,,,,,3,0,0,0,
48,278,2020-01-25,日本,JP,,,,,2,0,1,0,
49,279,2020-01-25,韩国,KR,,,,,2,0,0,0,
50,280,2020-01-25,马来西亚,MY,,,,,3,0,0,0,
51,281,2020-01-25,尼泊尔,NP,,,,,1,0,0,0,
52,282,2020-01-25,新加坡,SG,,,,,3,0,0,0,
53,283,2020-01-25,泰国,TH,,,,,4,0,2,0,
54,284,2020-01-25,美国,US,,,,,2,0,0,0,
