date,cn_confirmed,cn_cured,cn_dead,ncn_confirmed,ncn_cured,ncn_dead
2019-12-01,1,0,0,0,0,0
2019-12-02,1,0,0,0,0,0
2019-12-03,1,0,0,0,0,0
2019-12-04,1,0,0,0,0,0
2019-12-05,1,0,0,0,0,0
2019-12-06,1,0,0,0,0,0
2019-12-07,1,0,0,0,0,0
2019-12-08,1,0,0,0,0,0
2019-12-09,1,0,0,0,0,0
2019-12-10,1,0,0,0,0,0
2019-12-11,4,0,0,0,0,0
2019-12-12,4,0,0,0,0,0
2019-12-13,4,0,0,0,0,0
2019-12-14,4,0,0,0,0,0
2019-12-15,6,0,0,0,0,0
2019-12-16,6,0,0,0,0,0
2019-12-17,7,0,0,0,0,0
2019-12-18,8,0,0,0,0,0
2019-12-19,9,0,0,0,0,0
2019-12-20,14,0,0,0,0,0
2019-12-21,18,0,0,0,0,0
2019-12-22,21,0,0,0,0,0
2019-12-23,29,0,0,0,0,0
2019-12-24,30,0,0,0,0,0
2019-12-25,33,0,0,0,0,0
2019-12-26,35,0,0,0,0,0
2019-12-27,37,0,0,0,0,0
2019-12-28,37,0,0,0,0,0
2019-12-29,37,0,0,0,0,0
2019-12-30,37,0,0,0,0,0
2019-12-31,40,0,0,0,0,0
2020-01-01,43,0,0,0,0,0
2020-01-02,44,0,0,0,0,0
2020-01-03,41,0,0,0,0,0
2020-01-04,41,0,0,0,0,0
2020-01-05,41,0,0,0,0,0
2020-01-06,41,0,0,0,0,0
2020-01-07,41,0,0,0,0,0
2020-01-08,41,0,0,0,0,0
2020-01-09,41,0,0,0,0,0
2020-01-10,41,2,1,0,0,0
2020-01-11,41,6,1,0,0,0
2020-01-12,41,7,1,0,0,0
2020-01-13,41,7,1,0,0,0
2020-01-14,41,7,1,0,0,0
2020-01-15,41,12,2,0,0,0
2020-01-16,45,15,2,2,0,0
2020-01-17,62,19,2,0,0,0
2020-01-18,198,24,3,0,0,0
2020-01-19,275,25,4,0,0,0
2020-01-20,291,25,6,4,0,0
2020-01-21,440,25,9,5,0,0
2020-01-22,571,25,17,6,0,0
2020-01-23,830,34,25,9,3,0
2020-01-24,1287,38,41,18,3,0
2020-01-25,1975,49,56,23,3,0
2020-01-26,2744,51,80,33,0,0
2020-01-27,4515,60,106,41,3,0
2020-01-28,5974,103,132,56,3,0
2020-01-29,7711,124,170,73,3,0
2020-01-30,9692,171,213,85,5,0
2020-01-31,11791,243,259,85,5,0
2020-02-01,14380,328,304,85,5,0
2020-02-02,17205,475,361,85,5,0
2020-02-03,20438,632,425,85,5,0
2020-02-04,24324,892,490,0,0,0
2020-02-05,28018,1153,563,0,0,0
2020-02-06,31161,1540,636,219,21,1
2020-02-07,34594,2052,723,271,22,1
2020-02-08,37162,2651,812,291,27,1
2020-02-09,40224,3283,909,311,28,1
2020-02-10,42708,3998,1017,384,34,1
2020-02-11,44730,4742,1114,398,39,1
2020-02-12,58839,5646,1260,444,51,1
2020-02-13,63932,6728,1381,503,58,2
2020-02-14,66575,8101,1524,516,63,2
2020-02-15,68584,9425,1666,593,72,3
2020-02-16,70637,10860,1772,689,93,3
2020-02-17,72528,12561,1870,803,97,3
2020-02-18,74276,14387,2006,905,115,3
2020-02-19,75101,16168,2121,1008,120,3
2020-02-20,75993,18277,2239,1096,134,8
2020-02-21,76392,20672,2348,1223,148,9
2020-02-22,76846,22907,2445,1544,166,14
2020-02-23,77262,24757,2595,1891,180,18
2020-02-24,77779,27353,2666,2280,196,33
2020-02-25,78190,29775,2718,2586,241,41
2020-02-26,78630,32531,2747,3088,245,53
2020-02-27,78959,36157,2791,3948,343,64
2020-02-28,79389,39049,2838,4909,357,81
2020-02-29,79968,41675,2873,6306,452,95
2020-03-01,80174,44518,2915,7329,459,121
2020-03-02,80302,47260,2946,9636,665,153
2020-03-03,80422,49914,2984,12051,890,184
2020-03-04,80565,52109,3015,13924,1208,237
2020-03-05,80710,53793,3045,16213,1397,294
2020-03-06,80813,55477,3073,19974,1814,366
2020-03-07,80859,57143,3100,23146,1942,448
2020-03-08,80904,58684,3123,27043,3019,555
2020-03-09,80924,59982,3140,30551,3611,762
2020-03-10,80955,61567,3162,35449,4409,975
2020-03-11,80992,62887,3173,40758,5071,1227
2020-03-12,81003,64216,3180,48203,5806,1562
2020-03-13,81021,65649,3194,58175,6499,1928
2020-03-14,81048,67022,3204,67459,7751,2356
2020-03-15,81077,67863,3218,80818,9186,2855
2020-03-16,81116,68799,3231,93308,10346,3486
2020-03-17,81151,69725,3242,106770,12036,4282
2020-03-18,81235,70547,3250,124099,13469,5012
2020-03-19,81300,71284,3253,147707,15664,6070
2020-03-20,81416,71876,3261,172672,17971,7230
2020-03-21,81498,72382,3267,205887,21209,8578
2020-03-22,81600,72841,3276,236475,24198,10357
2020-03-23,81747,73299,3283,277291,27347,12100
2020-03-24,81846,73791,3287,314458,29764,13915
2020-03-25,81960,74196,3293,357428,38124,16398
2020-03-26,82078,74737,3298,409394,43780,18856
2020-03-27,82213,75122,3301,473723,52802,21897
2020-03-28,82341,75600,3306,538183,65158,25334
2020-03-29,82447,75937,3311,602927,70430,28789
2020-03-30,82545,76225,3314,660934,80395,31947
2020-03-31,82631,76415,3321,727108,97855,36152
